index,Title,Year,Length,Subject,Popularity
1239,Young Einstein,1989,91,Comedy,47
1240,"Killing, The",1956,83,Drama,51
1241,"Cahill, United States Marshal",1973,102,Western,12
1242,"Savage Intruder, The",1989,90,Horror,24
1243,"Sheltering Sky, The",1992,139,Drama,64
1244,An Officer & a Gentleman,1982,125,Drama,1
1245,Black Widow,1987,101,Mystery,54
1246,Legal Eagles,1986,116,Comedy,39
1247,Bloody Mama,1970,90,Action,17
1248,A Patch of Blue,1965,106,Drama,51
1249,I Died a Thousand Times,1955,109,Drama,23
1250,Tentacles,1977,90,Horror,62
1251,"Scalphunters, The",1968,100,Western,33
1252,A Day in October,1992,96,Drama,76
1253,A Fistful of Dollars,1964,102,Westerns,61
1254,My Science Project,1985,94,Comedy,84
1255,"Great Race, The",1991,160,Comedy,88
1256,"Searchers, The",1956,119,Western,9
1257,Meteor,1979,105,Action,5
1258,Rebel Without a Cause,1955,111,Drama,82
1259,West Side Story,1961,153,Music,38
1260,Trash,1970,110,Comedy,68
1261,A Big Hand for the Little Lady,1966,95,Comedy,12
1262,A Fine Madness,1966,104,Comedy,6
1263,"Glass Menagerie, The",1987,134,Drama,68
1264,Harry & Son,1989,117,Drama,57
1265,"Rachel, Rachel",1968,102,Drama,32
1266,Paris Blues,1961,98,Drama,54
1267,"Fugitive Kind, The",1960,135,Drama,3
1268,Mr. & Mrs. Bridge,1993,,Drama,29
1269,State of Grace,1991,144,Drama,49
1270,Shadow of a Doubt,1943,108,Drama,32
1271,"Men, The",1950,85,Drama,27
1272,Stage Fright,1950,110,Mystery,72
1273,Magic Town,1947,103,Drama,4
1274,That Lucky Touch,1975,93,Action,85
1275,Lust for Gold,1949,90,Drama,57
1276,Heat,1987,103,Mystery,69
1277,Employee's Entrance,1993,75,Drama,0
1278,Night Is My Future,1947,87,Drama,17
1279,"Witches, The",1990,92,Science Fiction,18
1280,Vera Cruz,1953,94,Action,71
1281,Apache,1954,91,Western,78
1282,Twilight's Last Gleaming,1977,146,Drama,84
1283,"Frisco Kid, The",1979,119,Comedy,10
1284,Bank on the Stars,1954,30,Drama,
1285,Law of Desire,1987,100,Drama,73
1286,"Quiller Memorandum, The",1966,103,Mystery,34
1287,"Longest Day, The",1962,183,War,7
1288,"Name of the Rose, The",1986,128,Drama,8
1289,Bloodsport,1988,92,Action,78
1290,Torment,1986,85,Horror,8
1291,Pelle the Conqueror,1988,138,Drama,14
1292,Taps,1981,118,Drama,84
1293,"Freshman, The",1991,102,Comedy,32
1294,"Last Emperor, The",1987,164,Drama,1
1295,"Grim Reaper, The",1962,100,Drama,35
1296,Le Dernier Combat,1983,90,Drama,72
1297,Too Beautiful for You,1989,91,Drama,35
1298,"Fire, Ice & Dynamite",1991,105,Action,72
1299,Heavens Above,1963,113,Comedy,38
1300,One Eyed Jacks,1961,141,Western,26
1301,"Swing It, Sailor!",1937,61,Comedy,83
1302,"Wolf at the Door, The",1987,94,Drama,68
1303,Modern Times,1936,87,Comedy,4
1304,Thunderbolt & Lightfoot,1991,114,Action,16
1305,A Nous la Liberte,1931,87,Drama,60
1306,Scum,1979,95,Action,68
1307,"Inside Man, The",1984,90,Action,45
1308,Apocalypse Now,1979,153,Drama,8
1309,"Bellboy & the Playgirls, The",1990,94,Drama,7
1310,"Terror, The",1963,81,Horror,88
1311,"Raven, The",1963,86,Horror,85
1312,They Came from Within,1975,87,Horror,21
1313,"Boy in Blue, The",1986,97,Drama,63
1314,Killer Tomatoes Strike Back,1991,87,Comedy,24
1315,Attack of the Killer Tomatoes,1979,87,Comedy,47
1316,"Untouchables, The",1987,119,Drama,7
1317,Wise Guys,1986,91,Comedy,16
1318,American Autobahn,1989,90,Drama,75
1319,"Final Alliance, The",1990,94,Action,10
1320,"Bounty, The",1984,130,Drama,25
1321,"Little Prince, The",1974,89,Music,31
1322,Posse,1975,94,Western,76
1323,Firefox,1982,136,Action,64
1324,Penitentiary III,1987,91,Action,82
1325,Ginger & Fred,1993,,Comedy,29
1326,"Wrong Box, The",1966,107,Comedy,40
1327,Wagonmaster,1990,86,Western,1
1328,They Were Expendable,1945,135,War,88
1329,"Last Hurrah, The",1991,125,Drama,46
1330,Law of the Golden West,1949,59,Western,1
1331,Pioneer Marshal,1949,60,Western,8
1332,Ranger of the Cherokee Strip,1949,60,Western,31
1333,Vanishing Westerner,1950,60,Western,6
1334,Bandits of Dark Canyon,1948,59,Western,72
1335,"Bold Frontiersman, The",1948,60,Western,18
1336,"Wild Frontier, The",1948,59,Western,61
1337,"Firemen's Ball, The",1968,73,Comedy,8
1338,Local Hero,1983,112,Comedy,54
1339,"French Connection, The",1971,104,Drama,88
1340,To Live & Die in L. A.,1985,114,Action,70
1341,Ferry to Hong Kong,1961,113,Drama,77
1342,"Eddie Murphy, Delirious",1983,69,Comedy,6
1343,"Secret Policeman's Private Parts, The",1984,77,Comedy,36
1344,Up the Creek,1958,83,Comedy,54
1345,Yol,1982,111,Drama,53
1346,Sara Dane,1989,150,Drama,75
1347,Night Tide,1988,84,Drama,50
1348,His Majesty O'Keefe,1953,92,Action,3
1349,North to Alaska,1960,122,Western,31
1350,Flight to Fury,1966,76,Action,70
1351,Ride in the Whirlwind,1966,82,Western,26
1352,Powderkeg,1970,93,Western,26
1353,I Confess,1953,95,Drama,63
1354,"Thirty-Nine Steps, The",1935,88,Science Fiction,8
1355,Topaz,1969,126,Mystery,12
1356,Murder,1930,95,Mystery,50
1357,Dial M for Murder,1954,123,Mystery,52
1358,Young & Innocent,1937,80,Mystery,43
1359,Creature from Black Lake,1976,95,Horror,88
1360,Chariots of Fire,1981,124,Drama,6
1361,Monty Python Live at the Hollywood Bowl,1982,81,Comedy,81
1362,"Man Who Would Be King, The",1975,129,Drama,6
1363,Victory,1981,117,Drama,39
1364,Kelly's Heroes,1970,146,War,84
1365,Next of Kin,1989,109,Mystery,63
1366,Chattahoochee,1990,96,Drama,30
1367,"Angelic Conversation, The",1985,82,Comedy,41
1368,Down by Law,1986,107,Comedy,49
1369,"Killing Fields, The",1984,141,Drama,6
1370,Survival Zone,1992,85,Action,25
1371,Monty Python's Life of Brian,1979,94,Comedy,11
1372,Monty Python's the Meaning of Life,1983,107,Comedy,33
1373,"Red Tent, The",1971,121,Action,7
1374,Dakota,1945,82,Western,27
1375,Viva Zapata!,1952,112,Drama,86
1376,"Green Berets, The",1968,133,War,36
1377,Big Bad John,1990,90,Action,84
1378,"Ticket of Leave Man, The",1937,71,Mystery,45
1379,"D-Day, The Sixth of June",1956,106,War,84
1380,"Apprenticeship of Duddy Kravitz, The",1974,121,Drama,64
1381,A Clockwork Orange,1971,138,Science Fiction,83
1382,Full Metal Jacket,1991,117,War,45
1383,Sanshiro Sugata,1943,82,Drama,85
1384,Rhapsody in August,1991,97,Drama,50
1385,No Regrets for Our Youth,1946,110,Drama,31
1386,"Bad Sleep Well, The",1960,152,Drama,65
1387,"Idiot, The",1951,166,Drama,40
1388,Rashomon,1951,83,Drama,59
1389,Sanjuro,1962,96,Mystery,6
1390,Seven Samurai,1955,200,Drama,9
1391,Throne of Blood,1957,110,Drama,60
1392,Yojimbo,1961,110,Action,60
1393,Kagemusha,1980,161,Drama,74
1394,Ikiru,1952,134,Drama,36
1395,Empire of Spiritual Ninja,1987,90,Action,26
1396,"Ninja, the Violent Sorcerer",1986,90,Action,
1397,Metropolis,1926,139,Science Fiction,49
1398,Cloak & Dagger,1946,106,Mystery,55
1399,Spiders,1920,137,Drama,29
1400,Human Desire,1954,90,Drama,27
1401,Spies,1928,130,Drama,49
1402,"Testament of Dr. Mabuse, The",1933,120,Drama,4
1403,Fury,1991,95,Drama,48
1404,Mo' Better Blues,1990,129,Drama,78
1405,Matt Talbot,1989,30,Drama,35
1406,"Will Rogers, Look Back in Laughter",1989,55,Comedy,6
1407,For a Few Dollars More,1991,130,Westerns,34
1408,Thirty Seconds over Tokyo,1944,139,War,45
1409,Class of 1984,1982,93,Drama,23
1410,Juggernaut,1974,109,Action,63
1411,"Good Morning, Vietnam",1987,120,Comedy,37
1412,Blood on the Sun,1945,94,Drama,76
1413,Paint Your Wagon,1969,161,Music,46
1414,Ensign Pulver,1964,105,Comedy,16
1415,Street People,1976,92,Action,25
1416,"Manhunt, The",1984,83,Action,34
1417,Operation Nam,1987,85,War,37
1418,"Fighting Seabees, The",1944,100,War,35
1419,Let It Rock,1988,75,Drama,32
1420,Eraserhead,1978,90,Horror,2
1421,"Ladykillers, The",1955,87,Comedy,28
1422,Sweet Smell of Success,1957,97,Drama,12
1423,And Now for Something Completely Different,1971,88,Comedy,44
1424,Crackers,1984,92,Action,17
1425,Green Glove,1991,89,Drama,54
1426,Menace on the Mountain,1970,89,Action,69
1427,In Old California,1940,90,Western,27
1428,"Thirty Is a Dangerous Age, Cynthia",1967,85,Comedy,28
1429,Ffolkes,1980,99,Action,62
1430,Chisum,1970,111,Western,72
1431,"Hunt for Red October, The",1990,135,Drama,8
1432,Closely Watched Trains,1966,123,Drama,75
1433,Executive Action,1973,91,Drama,6
1434,Flying Tigers,1942,101,Action,61
1435,Father's Little Dividend,1991,87,Comedy,52
1436,An Evening with Robin Williams,1982,92,Comedy,68
1437,Eddie Murphy Raw,1987,90,Comedy,51
1438,Harlem Nights,1989,118,Comedy,11
1439,Santee,1973,93,Western,47
1440,"Good Father, The",1987,90,Drama,42
1441,Sometimes a Great Notion,1971,115,Drama,7
1442,Catch Twenty-Two,1970,117,Comedy,50
1443,Dark Age,1988,90,Action,3
1444,Deadline,1981,94,Mystery,9
1445,Mysterious Mr. Wong,1935,60,Mystery,71
1446,A Month in the Country,1988,92,Drama,57
1447,"Prom Night III, The Last Kiss",1990,97,Horror,29
1448,"Blood in, Blood Out",1990,,Drama,88
1449,"Wrong Arm of the Law, The",1989,94,Comedy,25
1450,Orphans,1987,116,Drama,21
1451,All the President's Men,1976,139,Drama,45
1452,J-Men Forever,1987,73,Action,59
1453,"Wild Bunch, The",1969,144,Western,50
1454,Judgement in Berlin,1988,92,Drama,13
1455,"Hot Line, The",1993,,Comedy,70
1456,Rocket Gibraltar,1988,100,Drama,26
1457,"Yakuza, The",1975,112,Action,16
1458,Jeremiah Johnson,1972,116,Drama,88
1459,Burn!,1970,112,Drama,75
1460,Magnum Force,1973,122,Action,28
1461,Cyborg,1989,86,Action,31
1462,"Prisoner of Zenda, The",1979,108,Comedy,12
1463,Scream,1983,86,Horror,24
1464,"Assault, The",1986,140,Drama,71
1465,Flying Leathernecks,1951,102,Action,23
1466,What Comes Around,1985,92,Drama,49
1467,Mon Oncle D'Amerique,1980,123,Comedy,71
1468,"Culpepper Cattle Company, The",1972,92,Western,29
1469,"Survivors, The",1983,102,Comedy,52
1470,Roadhouse Sixty-Six,1984,96,Action,20
1471,"Burning Poles, Cecil Taylor in Performance",1991,60,Music,82
1472,Russkies,1987,98,Action,87
1473,My Blue Heaven,1990,96,Comedy,63
1474,Altered States,1990,103,Science Fiction,22
1475,"Cowboys, The",1972,128,Western,58
1476,"Code Name, Emerald",1985,95,Drama,22
1477,Patton,1970,170,War,8
1478,Midnight Cowboy,1969,123,Drama,33
1479,"Falcon & the Snowman, The",1985,131,Drama,61
1480,Maitresse,1976,112,Drama,39
1481,Disorderlies,1987,86,Comedy,69
1482,Raging Bull,1991,,Drama,25
1483,Garrison Keillor's Home,1991,60,Comedy,6
1484,Overland Stage Raiders,1938,55,Western,83
1485,Pals of the Saddle,1938,55,Western,33
1486,Alone in the Dark,1982,92,Horror,75
1487,"Beguiled, The",1971,109,Drama,60
1488,Escape from Alcatraz,1979,112,Drama,22
1489,Criss Cross,1948,88,Drama,77
1490,Midway,1976,132,War,36
1491,Indiana Jones & the Last Crusade,1990,126,Action,8
1492,Duel,1993,90,Mystery,48
1493,Separate but Equal,1991,193,Drama,56
1494,Gosta Berling's Saga,1924,123,Drama,63
1495,Platoon,1986,120,Drama,8
1496,"Crawling Hand, The",1963,89,Science Fiction,79
1497,Willy Wonka & the Chocolate Factory,1971,100,Music,65
1498,Joe Kidd,1971,88,Western,79
1499,"Santa Claus, The Movie",1985,104,Comedy,19
1500,Boys Town,1938,96,Drama,21
1501,"Erasure, Live Wild!",1990,59,Music,48
1502,A Question of Honor,1982,150,Drama,80
1503,Check Your Guns,1947,61,Western,80
1504,West to Glory,1947,56,Western,43
1505,"Throwback, The",1937,60,Western,53
1506,Border Feud,1992,54,Action,43
1507,"Fighting Vigilantes, The",1947,58,Western,21
1508,Law of the Lash,1947,53,Western,66
1509,Outlaw Country,1949,66,Western,62
1510,Return of the Lash,1992,53,Action,78
1511,Mystery of the Hooded Horsemen,1937,60,Western,52
1512,Tex Rides with the Boy Scouts,1937,60,Western,17
1513,Shadows of the West,1949,59,Western,40
1514,Instant Karma,1991,102,Comedy,47
1515,Time Lock,1957,73,Drama,5
1516,Appointment in Honduras,1953,79,Drama,7
1517,Danton,1982,136,Drama,5
1518,"Alamo, The",1960,164,Action,29
1519,"La Chevre, (The Goat)",1986,91,Drama,24
1520,Les Comperes,1985,109,Comedy,54
1521,Dead Poets Society,1990,128,Drama,8
1522,"Othello, The Lost Masterpiece",1952,93,Drama,23
1523,"Battleground, The",1949,119,War,7
1524,Kings of the Road (In the Course of Time),1976,176,Drama,41
1525,Hiroshima,1990,98,Drama,17
1526,"Return of Martin Guerre, The",1982,111,Drama,51
1527,Somebody up There Likes Me,1956,97,Drama,56
1528,Jack Benny Show,1955,57,Comedy,51
1529,Mutiny on the Bounty,1962,182,Action,35
1530,"Death Valley Days, Deadly Decision",1989,,Western,9
1531,Monty Python's Flying Circus,1986,60,Comedy,4
1532,"Monty Python's Flying Circus, Vol 1.",1986,60,Comedy,24
1533,"Monty Python's Flying Circus, Vol 2.",1986,59,Comedy,79
1534,"Monty Python's Flying Circus, Vol 3.",1986,58,Comedy,63
1535,Valkenvania,1990,,Comedy,82
1536,"Secret Policeman's Other Ball, The",1982,101,Comedy,86
1537,"Taming of the Shrew, The",1981,127,Drama,2
1538,From Russia with Love,1964,,Action,6
1539,"Offence, The",1993,108,Mystery,6
1540,Hollywood Mavericks,1992,60,Comedy,22
1541,Live at Harrah's,1990,60,Comedy,6
1542,"Persuaders, The Overture, The",1992,52,Mystery,40
1543,Nineteen Hundred,1977,255,Drama,82
1544,"Van, The",1989,90,Comedy,5
1545,My Country Right or Wrong,1972,15,War,21
1546,"Clint Eastwood Collection, The",1991,,Westerns,11
1547,"Complete Dirty Harry, Magnum Force, The",1991,,Action,53
1548,"Dead Pool, The",1992,92,Action,26
1549,"Good, the Bad & the Ugly, The",1992,163,Westerns,68
1550,"Rawhide, Premiere Episode",1959,60,Western,54
1551,Tightrope,1992,118,Mystery,55
1552,Hearts of Fire,1987,95,Drama,25
1553,How the West Was Won,1992,165,Western,45
1554,"Mummy's Hand, The",1992,,Mystery,54
1555,Great White Death,1993,88,Action,26
1556,"Mosquito Coast, The",1986,119,Drama,54
1557,Today We Kill....Tomorrow We Die,1993,102,Western,25
1558,Tormenta Sobre Arizona,1991,,Drama,81
1559,Back to the Future II,1989,116,Comedy,65
1560,"Maverick, Duel at Sundown",1959,60,Western,26
1561,Shakespeare Series,1983,,Drama,23
1562,Deadly Trackers,1973,105,Western,54
1563,"American Film Institute, Alfred Hitchcock",1992,72,Mystery,70
1564,A Married Man,1990,,Drama,79
1565,Othello,1982,208,Drama,84
1566,"Only Way Home, The",1975,85,Drama,60
1567,Tales of Tomorrow,1953,120,Horror,0
1568,Inherit the Wind,1991,128,Drama,18
1569,This Is Horror,1990,45,Horror,3
1570,Conversation Piece,1992,112,Drama,1
1571,"Crimson Pirate, The",1992,105,Action,60
1572,"Devil's Disciple, The",1992,83,Mystery,65
1573,"Hallelujah Trail, The",1992,166,Drama,6
1574,"Train, The",1992,133,Action,68
1575,Jay Leno: The American Dream,1986,49,Comedy,67
1576,Primal Rage,1990,92,Mystery,3
1577,"Industrial Symphony, The Dream of the Broken-Hearted",1990,50,Music,49
1578,Howie Mandel's North American Watusi Tour,1986,52,Comedy,65
1579,"Branford Marsalis, Steep",1989,90,Music,52
1580,L. A. Story,1991,98,Comedy,81
1581,Steve Martin Live!,1986,60,Comedy,3
1582,"Steve Martin, The Funnier Side of Eastern Canada",1974,60,Comedy,34
1583,"Runaway Barge, The",1993,,Action,38
1584,Romulus & the Sabines,1992,101,Action,76
1585,"Saint, The",1989,,Mystery,29
1586,Strange Brew,1983,91,Comedy,24
1587,Another Forty-Eight Hours,1990,98,Action,54
1588,"Best of Eddie Murphy, Saturday Night Live, The",1989,,Comedy,56
1589,What about Bob?,1991,99,Comedy,6
1590,"Mummy's Revenge, The",1953,91,Horror,56
1591,Harper,1992,121,Mystery,86
1592,"Left Handed Gun, The",1992,102,Western,26
1593,Once upon a Wheel,1989,,Action,40
1594,"Prize, The",1992,136,Drama,66
1595,"Secret War of Harry Frigg, The",1968,,Comedy,28
1596,"Two Jakes, The",1990,,Mystery,3
1597,Exile in Concert,1989,61,Music,12
1598,Joe Piscopo New Jersey Special,1987,60,Comedy,14
1599,"Joe Piscopo Video, The",1991,60,Comedy,44
1600,"Death Valley Days, No Gun Behind His Badge",1989,,Western,1
1601,Salsa: The Motion Picture,1988,96,Drama,26
1602,Hollywood's Greatest War Movies,1991,80,War,41
1603,Out for Justice,1991,91,Action,2
1604,"Case of the Mukkinese Battle Horn, The",1956,27,Comedy,45
1605,"Goon Show Movie, The",1953,75,Comedy,80
1606,"Great McGonagall, The",1975,95,Comedy,72
1607,I'm All Right Jack,1991,101,Comedy,23
1608,"Magic Christian, The",1991,101,Comedy,75
1609,Never Let Go,1960,91,Action,5
1610,"Pink Panther, The",1991,121,Comedy,77
1611,Two-Way Stretch,1991,84,Comedy,7
1612,"Face at the Window, The",1988,65,Horror,79
1613,Tom Thumb,1958,92,Science Fiction,30
1614,Beartooth,1989,90,Action,70
1615,James Taylor in Concert,1979,90,Music,38
1616,Gangbusters,1942,253,Drama,31
1617,El Rublo de las Dos Caras,1992,,Action,83
1618,"Law & Jake Wade, The",1992,87,Drama,68
1619,Chuka,1967,105,Western,47
1620,Cry of the Innocent,1980,93,Drama,13
1621,Edison the Man,1991,108,Drama,19
1622,Keeper of the Flame,1991,101,Drama,76
1623,"Spencer Tracy Legacy, The",1991,92,Comedy,44
1624,"Cheyenne, The Iron Trail",1957,60,Western,1
1625,"Dawn Rider, The",1992,56,Western,44
1626,"Duke, The Films of John Wayne",1993,,Western,70
1627,Frontier Horizon,1939,55,Western,73
1628,Hell Town,1934,54,Western,23
1629,Hurricane Express,1932,,Western,7
1630,"Hurricane Express, The",1932,210,Action,68
1631,In Harm's Way,1965,165,War,66
1632,"John Wayne Collection, Red River, The",1991,,War,49
1633,John Wayne Collector's Limited Edition,1992,,War,3
1634,John Wayne Four Pack,1991,,Western,58
1635,"John Wayne Matinee Double Feature, No. 2",1939,112,Western,3
1636,"John Wayne Matinee Double Feature, No. 3",1939,110,Western,24
1637,"John Wayne Matinee Double Feature, No. 4",1938,110,Western,28
1638,John Wayne Six Pack,1990,,Western,87
1639,"John Wayne Western Greats, Rio Bravo",1991,,Western,22
1640,King of the Pecos,1991,56,Western,78
1641,Lawless Frontier,1992,59,Western,8
1642,"Lawless Frontier, The",1991,52,Western,35
1643,"Lawless Nineties, The",1991,56,Western,3
1644,Lucky Texan,1934,54,Western,48
1645,McQ,1992,112,Action,5
1646,Neath Arizona Skies,1993,,Western,73
1647,Neath the Arizona Skies,1991,54,Western,28
1648,Randy Rides Alone,1991,53,Western,75
1649,Range Feud,1993,58,Western,77
1650,Red River,1992,134,Western,16
1651,Riders of Destiny,1991,52,Western,30
1652,Sagebrush Trail,1990,,Western,23
1653,"Shadow of the Eagle, The",1932,226,Action,19
1654,Blood & Guns,1989,103,Action,43
1655,Hot Money,1988,78,Drama,19
1656,Comedy Tonight,1977,75,Comedy,18
1657,Robin Williams,1991,65,Comedy,4
