index,Title,Year,Length,Subject,Popularity
243,Rabid,1977,91,Horror,34
244,"Party, The",1990,,Comedy,32
245,"Vampire Raiders, Ninja Queen",1989,90,Action,15
246,Bloopers from Star Trek,1970,26,Comedy,22
247,Destroyer,1943,99,Action,87
248,Party Girl,1992,99,Comedy,85
249,Twin Peaks,1989,113,Mystery,86
250,Moonstruck,1987,103,Comedy,6
251,"Witches of Eastwick, The",1987,119,Comedy,8
252,Moonraker,1979,128,Action,32
253,Beat Street,1984,106,Drama,72
254,Running Out of Luck,1986,88,Comedy,16
255,Never on Tuesday,1989,90,Drama,77
256,Shampoo,1975,109,Comedy,69
257,Power,1985,111,Drama,43
258,Darling,1965,122,Drama,44
259,"Ugly American, The",1963,120,Drama,63
260,Ambassador Bill,1931,68,Comedy,66
261,"Big Trail, The",1931,110,Western,22
262,Hombre,1967,111,Western,50
263,Coogan's Bluff,1968,103,Action,57
264,Penn & Teller Get Killed,1989,91,Comedy,12
265,Shy People,1987,118,Drama,7
266,It's My Turn,1980,91,Comedy,0
267,Dangerous Liaisons,1988,119,Drama,77
268,Reversal of Fortune,1990,111,Drama,73
269,Meeting Venus,1991,119,Comedy,74
270,Tomorrow Is Forever,1946,105,Drama,65
271,Like Father Like Son,1987,101,Comedy,20
272,Rope,1948,81,Drama,39
273,Road to Hong Kong,1962,91,Comedy,37
274,Shirley Valentine,1989,108,Comedy,51
275,City of Joy,1992,135,Drama,87
276,"Appaloosa, The",1966,99,Western,15
277,Seven Minutes in Heaven,1986,88,Comedy,49
278,"Hearts of Darkness, A Filmmaker's Apocalypse",1991,96,Drama,72
279,Tonight for Sure,1961,66,Comedy,4
280,"White Hunter, Black Heart",1990,110,Adventure,66
281,Sundays & Cybele,1962,110,Drama,11
282,Puppet Master,1989,90,Science Fiction,20
283,Night Gallery,1991,95,Horror,31
284,Pet Sematary,1989,103,Horror,27
285,"America's Music, Gospel",1992,60,Music,13
286,Slap Shot,1977,123,Comedy,82
287,O. C. & Stiggs,1987,109,Comedy,3
288,A Fish Called Wanda,1988,108,Comedy,7
289,A Lesson in Love,1954,96,Comedy,48
290,Brink of Life,1957,82,Drama,57
291,Betty Blue,1986,120,Drama,71
292,Hair,1979,122,Music,67
293,National Lampoon's Christmas Vacation,1989,97,Comedy,81
294,"Dersu Uzala, (The Hunter)",1974,124,Adventure,81
295,Alice,1990,106,Comedy,22
296,"Fifth Floor, The",1980,90,Mystery,74
297,Snow Kill,1990,94,Drama,35
298,"People, The",1971,74,Drama,36
299,True Grit,1969,128,Western,77
300,"Battle of Midway, The",1942,18,War,75
301,Three Godfathers,1948,103,Western,72
302,"Hush, Hush, Sweet Charlotte",1965,133,Mystery,68
303,A Stolen Life,1946,110,Drama,20
304,"Old Maid, The",1939,96,Drama,18
305,All about Eve,1950,138,Drama,23
306,"Fly, The",1986,96,Horror,33
307,Quick Change,1990,89,Comedy,24
308,"Lair of the White Worm, The",1988,93,Horror,16
309,"Rainbow, The",1989,104,Drama,53
310,"Man Who Knew Too Much, The",1956,120,Mystery,15
311,Beauty & the Beast,1992,90,Science Fiction,14
312,Foreign Correspondent,1940,120,Mystery,61
313,"Heiress, The",1949,115,Drama,81
314,"Boy Who Could Fly, The",1986,120,Drama,25
315,"Terrorists, The",1975,89,Action,4
316,Wheel of Fortune,1942,85,Drama,36
317,Do the Right Thing,1989,120,Drama,5
318,"Court-Martial of Jackie Robinson, The",1990,93,Drama,33
319,Elvira Madigan,1967,90,Drama,28
320,Hurricane Smith,1992,86,Action,16
321,Fair Game,1987,86,Action,24
322,"Rape of the Sabines, The",1989,95,Action,83
323,Risky Business,1983,99,Comedy,28
324,I Love All of You (Je Vous Aime),1980,103,Drama,40
325,Love Songs,1986,108,Drama,15
326,Le Choix des Armes,1983,114,Mystery,15
327,Choice of Arms,1981,135,Action,87
328,March or Die,1977,107,War,59
329,"Last Metro, The",1980,135,Drama,66
330,Jean de Florette,1986,120,Drama,87
331,Fat Man & Little Boy,1989,127,Drama,86
332,Wild at Heart,1990,125,Drama,6
333,Family Business,1989,113,Action,5
334,Stand & Deliver,1988,103,Drama,19
335,Looker,1981,94,Science Fiction,62
336,Fire & Rain,1989,89,Action,10
337,"Best of Candid Camera, The",1990,56,Comedy,12
338,Seven Sinners,1940,83,Drama,24
339,Judgment at Nuremberg,1961,190,Drama,39
340,Minsky's Follies,1989,60,Comedy,12
341,"Novice, The",1990,97,Comedy,72
342,Wings of Desire,1987,130,Drama,71
343,Until the End of the World,1991,158,Drama,57
344,Castaway,1987,118,Drama,41
345,"Alfred Hitchcock Presents, Sorcerer's Apprentice",1993,30,Mystery,60
346,Delicatessen,1991,99,Comedy,78
347,"Great Train Robbery, The",1979,110,Mystery,7
348,Hanover Street,1991,110,Drama,81
349,Hunchback,1991,102,Drama,33
350,My Darling Clementine,1946,97,Western,12
351,Wagon Master,1950,86,Western,30
352,She Wore a Yellow Ribbon,1949,93,Western,84
353,Fantasy Man,1985,90,Comedy,82
354,Monster in the Closet,1986,87,Comedy,39
355,Double Edge,1992,85,Drama,69
356,Network,1976,116,Comedy,48
357,Chinatown,1974,131,Drama,55
358,Three Days of the Condor,1975,117,Drama,87
359,Voyage of the Damned,1977,134,Drama,34
360,Barfly,1987,97,Drama,23
361,"Wait Until Spring, Bandini",1990,104,Drama,20
362,Life with Father,1947,118,Comedy,10
363,A Guy Named Joe,1943,,Drama,42
364,Stavisky,1974,117,Drama,1
365,Time Bandits,1981,117,Comedy,5
366,"Shining, The",1980,144,Horror,32
367,Flame of Barbary Coast,1945,91,Western,54
368,"Naked Truth, The",1993,92,Comedy,34
369,"Brood, The",1979,92,Horror,51
370,"Molly Maguires, The",1970,123,Action,3
371,Beverly Hills Cop,1984,105,Comedy,41
372,Blind Man's Bluff,1991,86,Mystery,64
373,La Dolce Vita,1961,140,Drama,20
374,After the Fox,1966,103,Comedy,60
375,"Man with the Golden Gun, The",1974,127,Action,41
376,Marbella,1985,96,Action,45
